Sample,toxin_abundance,toxin_clusters,toxin_families,longitude,latitude,ET0,AI,ports5,ports4,ports3,ports2,ports1,cities12,cities11,cities10,cities9,cities8,cities7,cities6,cities5,cities4,cities3,cities2,cities1,bio40,bio39,bio38,bio37,bio36,bio35,bio34,bio33,bio32,bio31,bio30,bio29,bio28,bio27,bio26,bio25,bio24,bio23,bio22,bio21,bio20,biomass,HDI,GDP_per_capita_PPP,GDP_PPP,pop_density,pop_count,DTI,Soybean_Glyphosate_2020_L,Soybean_Glyphosate_2020_H,Soybean_Glufosinate_2020_L,Soybean_Glufosinate_2020_H,Corn_Glufosinate_2020_L,Corn_Glufosinate_2020_H,Corn_Chlorpyrifos_2020_L,Corn_Chlorpyrifos_2020_H,soc,silt,sand,phh2o,ocs,ocd,nitrogen,clay,cec,cfvo,bdod,elevation,bio19,bio18,bio17,bio16,bio15,bio14,bio13,bio12,bio11,bio10,bio9,bio8,bio7,bio6,bio5,bio4,bio3,bio1,bio2,PFT9,PFT8,PFT7,PFT6,PFT5,PFT4,PFT32,PFT31,PFT30,PFT3,PFT29,PFT28,PFT27,PFT26,PFT25,PFT24,PFT23,PFT22,PFT21,PFT20,PFT2,PFT19,PFT18,PFT17,PFT16,PFT15,PFT14,PFT13,PFT12,PFT11,PFT10,PFT1,PFT0
1716.McG.PAPrS34,5.088441688,86,44,-79.88968474,9.135323364,1684,14066,159,163,206,159,2601,137,142,137,151,142,199,260,142,746,1421,159,1669,1.452363014,-0.248852998,0.656512022,1.96421802,1.15022397,1.475673676,0.844924927,0.658652842,1.595016599,0.301422179,0.49109301,1.691702962,1.228755355,157.7919159,202.7602234,198.957077,162.2344666,0.09643174,153.1600037,212.2180023,180.9666138,500,0.662,10526.5166,1224969.625,27.04813385,22.98109627,1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,480,314,328,55,56,326,5019,358,213,92,108,62,752,422,54,942,69.03200531,9,364,2370,25.75,27.31666565,26.54999924,25.85000038,8,22.5,30.5,63.81792068,74.16666412,26.39999962,5.933333397,0,0,0,16.65999985,0,56.18000031,0,1.5,0,0,0.5,0,2.859999895,0,0,0,2.299999952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1716.McG.PAPrS24,4.55607308,92,46,-79.75309848,9.16200706,1677,15802,55,70,95,55,2493,49,52,49,57,59,126,187,53,672,1314,52,1561,1.406118989,-0.329766005,0.217087001,1.966034055,1.098847985,1.394889832,0.756495595,0.521679699,1.571188807,0.359465867,0.349328995,1.651749015,1.183556795,156.0719299,202.5487671,196.1991577,164.1585388,0.101417057,150.9100037,212.5079956,179.8448029,500,0.662,13962.96777,1018001.625,151.3385315,128.573822,1,-1.5,-1.5,-1.5,-1.5,0.023844859,0.027881071,0.000138489,0.000155164,420,311,349,53,56,347,4382,340,199,127,110,102,971,410,87,1067,62.25891876,14,375,2651,25.41666603,27.10000038,26.23333359,25.53333282,8.099998474,22.20000076,30.29999924,68.89138031,74.38273621,26.13750076,6.025000095,0,0,0,22.68000031,0,67.90000153,0,1.5,0,0,0.5,0,2.400000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1043.Tabonuco.20C.BC.TP1.01,3.987917094,55.71428571,31.5,-66.93,18.13,1720,12324,27,59,27,32,1576,14,39,14,24,27,53,89,39,485,84,550,2598,-1.267835975,0.415654004,0.747884989,0.755788982,1.237054944,0.698313177,1.15526545,0.656162977,1.289085031,0.237646163,0.58593303,1.336117983,1.007881999,160.4159241,186.1754608,160.4159241,160.942688,0.131318659,128.8849945,197.5549927,167.0944061,500,0.697415054,25275.21484,216784528,29.92562294,24.47428703,-128,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,760,421,135,54,77,599,5475,444,237,43,120,414,235,608,222,853,47.86577225,65,307,2120,21.39999962,24.43333435,21.5,24.26666641,15.59999943,14.80000019,30.39999962,129.1837616,76.86965942,23.05416679,11.99166679,0,0,0,38.29999924,0,26.79999924,0,29.89999962,0,0,0.479999989,0.280000001,4.099999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0
1716.McG.PAPrS13,3.983587833,88,43,-79.90794328,9.117291084,1689,14556,94,99,142,94,2536,72,77,72,86,78,135,195,77,681,1357,95,1604,1.452363014,-0.248852998,0.656512022,1.96421802,1.15022397,1.475673676,0.844924927,0.658652842,1.595016599,0.301422179,0.49109301,1.691702962,1.228755355,157.7919159,202.7602234,198.957077,162.2344666,0.09643174,153.1600037,212.2180023,180.9666138,500,0.662,10526.5166,1224969.625,27.04813385,22.98217201,1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,856,316,347,53,58,364,4664,337,214,92,108,66,838,465,71,1019,66.90901184,15,378,2459,25.73333359,27.29999924,26.51666641,25.79999924,8.100000381,22.39999962,30.5,64.35430145,73.35390472,26.36249924,5.941666603,0,0,0,11.19999981,0,36.97999954,0,1.399999976,0,0,0.5,0,2.019999981,0,0,0,1.819999933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
1716.McG.PAPrS08,3.639192237,103,47,-79.37076559,9.19665471,1604,16679,82,105,126,82,2498,66,69,66,85,77,161,222,88,707,1319,69,1566,1.475996971,0.016896,0.415739,2.803864956,0.894190013,1.443970323,1.03200388,0.704689562,1.80110395,0.320818931,0.509061992,1.935106993,1.360132098,154.1083832,199.0714569,194.7910767,163.3899231,0.106827334,146.8600006,212.9089966,177.4810638,9650,0.662,10526.5166,705658,168.3715515,143.0312347,1,-1.5,-1.5,-1.5,-1.5,0.02335478,0.027390992,0.000138227,0.000154902,909,307,347,52,59,410,4438,346,241,46,101,484,1033,410,31,1333,78.79431915,6,539,2677,23.26666641,24.88333321,24.06666756,23.36666679,8.399999619,20,28.39999962,65.40519714,76.48809814,23.96249962,6.424999714,0,0,0,27.23999977,0,0,0,0,0.02,0,0.579999983,0,14.35999966,0,0,0,9.800000191,0,0,0,0,0,0,0,0,3.519999981,44.43999863,0,0,0,0,0,0
1716.McG.PAPrS22,2.636510167,123,56,-79.75312772,9.152961446,1684,15484,71,86,111,71,2508,65,68,65,72,75,141,202,69,688,1329,68,1577,1.406118989,-0.329766005,0.217087001,1.966034055,1.098847985,1.394889832,0.756495595,0.521679699,1.571188807,0.359465867,0.349328995,1.651749015,1.183556795,156.0719299,202.5487671,196.1991577,164.1585388,0.101417057,150.9100037,212.5079956,179.8448029,500,0.662,13962.96777,1018001.625,151.3385315,128.5768127,1,-1.5,-1.5,-1.5,-1.5,0.023844859,0.027881071,0.000138489,0.000155164,396,327,332,53,62,344,4708,341,162,125,107,85,981,408,73,1050,65.65777588,21,427,2609,25.63333321,27.33333206,26.46666718,25.75,8.100000381,22.39999962,30.5,69.66911316,74.27983093,26.35833359,6.016666412,0,0,0,22.68000031,0,67.90000153,0,1.5,0,0,0.5,0,2.400000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1716.McG.PAPrS35,2.521249886,106,53,-79.78027526,9.198266411,1680,15407,64,93,90,64,2515,61,74,61,70,66,148,209,76,695,1336,74,1583,1.627298951,-0.116933003,0.538254976,2.512686014,1.007014036,1.500426412,0.968149245,0.672681928,1.689662814,0.316330612,0.486288995,1.852800012,1.315475583,155.1953125,201.2915344,201.1364594,157.7563782,0.109308533,148,213.7100067,178.8023987,500,0.662,13962.96777,6792590,151.3385315,128.5617065,1,-1.5,-1.5,-1.5,-1.5,0.023844859,0.027881071,0.000138489,0.000155164,406,309,324,53,56,370,4499,367,193,151,109,121,952,378,72,1041,66.1628418,14,426,2589,25.29999924,27.04999924,26.18333244,25.45000076,8,22.20000076,30.20000076,70.97803497,73.54166412,26.06666565,5.883333206,0,0,0,22.68000031,0,67.90000153,0,1.5,0,0,0.5,0,2.400000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1716.McG.PAPrS11,2.288341225,115,50,-79.86249892,9.099057886,1704,14322,108,113,156,108,2550,86,91,86,100,91,148,209,91,695,1370,108,1618,1.452363014,-0.248852998,0.656512022,1.96421802,1.15022397,1.475673676,0.844924927,0.658652842,1.595016599,0.301422179,0.49109301,1.691702962,1.228755355,157.7919159,202.7602234,198.957077,162.2344666,0.09643174,153.1600037,212.2180023,180.9666138,0,0.662,10526.5166,1224969.625,27.03523827,22.9728241,1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,561,299,309,54,58,356,5194,392,146,100,108,69,833,397,73,962,64.22788239,15,352,2441,25.78333282,27.48333359,26.68333435,25.86666679,8.5,22.39999962,30.89999962,69.31890869,73.4313736,26.48749924,6.241666794,0,0,0,31.86000061,0,0,0,0,0,0,0.560000002,0,8.159999847,0,0,0,1.319999933,0,0,0,0,0,0,0,0,2.180000067,43.86000061,0,0,0,0,0,12
1716.McG.PAPrS09,2.158910566,116,58,-79.37982378,9.205734408,1571,16692,41,64,85,41,2457,25,28,25,44,36,120,181,47,666,1278,28,1525,1.475996971,0.016896,0.415739,2.803864956,0.894190013,1.443970323,1.03200388,0.704689562,1.80110395,0.320818931,0.509061992,1.935106993,1.360132098,154.1083832,199.0714569,194.7910767,163.3899231,0.106827334,146.8600006,212.9089966,177.4810638,19300,0.662,10526.5166,705658,168.3715515,143.0278473,1,-1.5,-1.5,-1.5,-1.5,0.02335478,0.027390992,0.000138227,0.000154902,811,313,363,55,68,401,4030,324,258,83,102,790,927,524,25,1169,78.38273621,4,542,2623,22.13333321,23.61666679,22.81666756,22.25,8.300001144,18.79999924,27.10000038,60.24573517,78.91565704,22.77499962,6.550000191,0,0,0,13.88000011,0,70.95999908,0,1.399999976,0,0,0.519999981,0,6.699999809,0,0,0,5.099999905,0,0,0,0,0,0,0,0,1.379999995,0,0,0,0,0,0,0
1716.McG.PAPrS30,2.128465189,134,60,-79.86233432,9.153322089,1676,14814,179,195,206,179,2617,174,176,174,181,184,250,311,178,797,1438,176,1686,1.452363014,-0.248852998,0.656512022,1.96421802,1.15022397,1.475673676,0.844924927,0.658652842,1.595016599,0.301422179,0.49109301,1.691702962,1.228755355,157.7919159,202.7602234,198.957077,162.2344666,0.09643174,153.1600037,212.2180023,180.9666138,0,0.662,10526.5166,1224969.625,27.04813194,22.98001862,1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,526,294,350,53,60,401,4973,356,252,128,101,119,741,452,79,1002,67.41876984,11,427,2483,25.54999924,27.16666603,26.35000038,25.86666679,7.800001144,22.39999962,30.20000076,66.00475311,74.03845215,26.22916603,5.775000095,0,0,0,0,0,28.57999992,0,1.5,0,0,0.5,0,1.080000043,0,0,0,1.379999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
